Feature,Overlap
fwd iat std,9.067595628099985e-06
idle mean,9.40366648956428e-06
idle max,9.418945266509056e-06
idle min,9.436187780136825e-06
idle std,1.059383756468862e-05
flow iat std,1.283181262987198e-05
bwd iat std,3.8516943603491176e-05
active std,0.00013249487856334784
flow iat mean,0.0001492706501354098
active mean,0.0001874794944302967
fwd iat mean,0.00020103334576189062
flow duration,0.00021463552687670824
flow iat max,0.0002243901178592095
fwd iat total,0.00024111379962469054
fwd iat max,0.0002662006873706988
bwd packet length std,0.000312256049960968
active max,0.00032302349995962207
bwd iat mean,0.000676705707380554
bwd iat total,0.0007001862197392924
bwd iat max,0.0007033559055707284
bwd packet length mean,0.0008522243054371911
avg bwd segment size,0.0008571918395336877
active min,0.001151757801787967
total length of bwd packets,0.0022254300493203417
subflow bwd bytes,0.0022254300493203417
packet length std,0.0027510881169417753
packet length variance,0.0027875707141100273
fwd packet length std,0.0031168536778873397
bwd packets/s,0.0031912546876148927
bwd packet length max,0.003424657534246575
bwd packet length min,0.005038937242327073
init_win_bytes_backward,0.01212219169225796
init_win_bytes_forward,0.013676260461318637
bwd header length,0.024269593445663935
total backward packets,0.036739734485952455
subflow bwd packets,0.036739734485952455
fwd header length,0.03794990877425775
packet length mean,0.05498231132075472
total length of fwd packets,0.0604596890179371
subflow fwd bytes,0.0604596890179371
average packet size,0.06209624736880308
fwd packet length mean,0.07022783102933385
avg fwd segment size,0.07107219722167873
fwd packet length max,0.07380839459331279
max packet length,0.07678307359799795
total fwd packets,0.09132515082171833
subflow fwd packets,0.09132515082171833
bwd iat min,0.10894308943089431
flow bytes/s,0.11033234315555727
min_seg_size_forward,0.13444244604316546
flow iat min,0.135160921002417
flow packets/s,0.13958742153966094
fwd packets/s,0.1403135324508304
act_data_pkt_fwd,0.1501597444089457
down/up ratio,0.18840579710144928
fwd iat min,0.2469733656174334
fwd packet length min,0.26128016789087094
min packet length,0.30691358024691356
fwd psh flags,1.0
syn flag count,1.0
rst flag count,1.0
ack flag count,1.0
urg flag count,1.0
cwe flag count,1.0
protocol_0,1.0
protocol_6,1.0
protocol_17,1.0
